generation,deck_uid,win_rate
0,ulBzdroAdznCnrhCcCxBnxAexvbnew,1
0,begpABrqxpgurigCuAzamlujAgABde,0
0,oBBCCoBzxlekqakxCmjmyjighmdepA,1
0,mgyCflrifoixjxjkplltcwnEwphDmu,0
0,srojxjpBhxziytefpyryjcdneCoczg,0
0,nuqeCcayEjcthkbaxsgzatnsukbvbn,3
0,qddaxsfungjqqumtlDkhurnDklcEyi,3
0,ayliApaqbmxkuADjzcuxvtiEcwnofA,0
0,ukDkbBkbEdgnmhqpkuyvaiDrBwhjEn,1
0,slzqcomsClvvEDdjEqvlnuAdvBltim,2
0,tpAArcmpADfcDbxyhynvpxeAzbskcB,0
0,gspBpsjiduhDCBAgCmqtwdgBkpCupz,2
0,qautDioAsAbusbgivmyodAxrikAkey,0
0,EekriznvdzmBkAzeyzACnbxvdAwhwb,1
0,acaAdcduliwknoDkfAAfcdBsECDjkj,0
0,aAxhuwEwjoprDdmrrgesgufsotvafA,2
0,jqjumvhaDAqtcyimgnDDmbqDEBqenr,1
0,tnohzaypggnjdilzndoklmseqscnqw,1
0,aBtjwgwBfogfxzwbnzntnkdkboCetz,3
0,BklCDkcfvxgEzxlrrtxAEkeexyegnh,2
0,zpmkzmdvnewxBChlpkhrEkwCseEEfz,2
0,hlnqeAqgiCscfhxEByejfgAkqyxdeE,1
0,xoifictolsuuqytBvadmCDnjcpntEq,1
0,stmittimcekpxeDvdptzmhDyogwyko,2
0,EdkmCdgfdyBwgypiecmzkBrsnzpcip,2
0,dxxnwzufavfDqsbEAjfrhjrykxDizn,1
0,AmfhdbbcrhxaBaEovzohzCnmpBrBat,2
0,yonmqAyzajfccmshahdvvnzwphuDxe,4
0,rkvrvnwCmEpeBecrlvjwhdbDqqgsri,3
0,htlsynqlomgvxEcfxnBByBzytBcfCd,0
0,moiddqDtkcruBrAknCgrxhtmqvdbnu,3
0,lEEroqksiwcbpdchsgcyvmjvdemvfz,5
0,fahCrnCexAeeywDiDcqkCdqtAnmrqu,5
0,kgpBssbwsasdqxesgshaltdmptEddh,3
0,dyptDyCpAeDEbrtAdytosAnBzoagwc,1
